Léon	NAM	Léon
fait	VER:pres	faire
une	DET:ART	un
rédaction	NOM	rédaction
tous	PRO:IND	tout
les	DET:ART	le
lundi	NOM	lundi
.	SENT	.
Il	PRO:PER	il
doit	VER:pres	devoir
raconter	VER:infi	raconter
son	DET:POS	son
dimanche	NOM	dimanche
mais	KON	mais
il	PRO:PER	il
a	VER:pres	avoir
tout	ADV	tout
le	DET:ART	le
temps	NOM	temps
0	NUM	@card@
/	PUN	/
10.	PRO:PER	@ord@
Mais	VER:impf	Mais
un	DET:ART	un
dimanche	NOM	dimanche
il	PRO:PER	il
mit	VER:simp	mettre
un	DET:ART	un
pot	NOM	pot
de	PRP	de
fleurs	NOM	fleur
en	PRP	en
équilibre	NOM	équilibre
pour	KON	pour
que	KON	que
ça	PRO:DEM	cela
tombe	VER:pres	tomber
sur	PRP	sur
la	DET:ART	le
tête	NOM	tête
de	PRP	de
quelqu'un	PRO:IND	quelqu'un
et	KON	et
c'	PRO:DEM	ce
est	VER:pres	être
ce	PRO:DEM	ce
qui	PRO:REL	qui
arriva	VER:simp	arriver
<segmentation/>
c'	PRO:DEM	ce
était	VER:impf	être
sur	PRP	sur
la	DET:ART	le
tête	NOM	tête
de	PRP	de
la	DET:ART	le
maitresse	NOM	maitresse
.	SENT	.
Le	DET:ART	le
lendemain	NOM	lendemain
matin	NOM	matin
il	PRO:PER	il
y	PRO:PER	y
avait	VER:impf	avoir
une	DET:ART	un
remplaçante	NOM	remplaçant
.	SENT	.
