Les données suivantes sont issues de l'analyse de la production : prod_CE1_277

Cette production contient : 

	70 forme(s)/token(s)

	61 mot(s)

	29 hapax

	243 caractère(s)

	Une moyenne de 4 caractère(s) par mot

	3 phrase(s)

	Une moyenne de 20 mot(s) par phrase

	41 type(s) de mots dont la distribution fréquentielle est la suivante :

		Dimanche : 3
		Hugo : 3
		a : 3
		une : 1
		rédaction : 1
		mais : 1
		le : 4
		dimanche : 2
		il : 3
		ne : 1
		se : 3
		passe : 2
		rien : 1
		dernier : 1
		sa : 2
		mère : 1
		s' : 1
		est : 1
		coupé : 1
		doigt : 1
		en : 1
		coupant : 1
		gigot : 1
		et : 1
		dit : 2
		faut : 1
		que : 1
		quelque : 1
		chose : 1
		d' : 1
		après : 1
		fait : 1
		tomber : 1
		soeur : 1
		dans : 1
		l' : 3
		escalier : 2
		on : 1
		emmenée : 1
		à : 1
		hôpital : 1

	Liste (triée par fréquence décroissante) du nombre d'occurrences de chaque catégorie : 

		('NOM', 14)
		('VER:pres', 9)
		('PRO:PER', 9)
		('DET:ART', 7)
		('PRP', 4)
		('PUN', 3)
		('NAM', 3)
		('KON', 3)
		('ADV', 3)
		('SENT', 3)
		('VER:pper', 3)
		('PUN:cit', 3)
		('DET:POS', 2)
		('ADJ', 1)
		('VER:ppre', 1)
		('PRO:IND', 1)
		('VER:infi', 1)

	Liste (triée par fréquence décroissante) des lemmes et de leurs catégories : 

		(('DET:ART', 'le'), 6)
		(('NOM', 'dimanche'), 5)
		(('PRO:PER', 'se'), 4)
		(('PUN', ','), 3)
		(('NAM', 'Hugo'), 3)
		(('VER:pres', 'avoir'), 3)
		(('PRO:PER', 'il'), 3)
		(('SENT', '.'), 3)
		(('VER:pres', 'passer'), 2)
		(('DET:POS', 'son'), 2)
		(('VER:pres', 'dire'), 2)
		(('PUN:cit', '»'), 2)
		(('NOM', 'escalier'), 2)
		(('DET:ART', 'un'), 1)
		(('NOM', 'rédaction'), 1)
		(('KON', 'mais'), 1)
		(('ADV', 'ne'), 1)
		(('ADV', 'rien'), 1)
		(('ADJ', 'dernier'), 1)
		(('NOM', 'mère'), 1)
		(('VER:pres', 'être'), 1)
		(('VER:pper', 'couper'), 1)
		(('NOM', 'doigt'), 1)
		(('PRP', 'en'), 1)
		(('VER:ppre', 'couper'), 1)
		(('NOM', 'gigot'), 1)
		(('KON', 'et'), 1)
		(('PUN:cit', '«'), 1)
		(('VER:pres', 'falloir'), 1)
		(('KON', 'que'), 1)
		(('PRO:IND', 'quelque'), 1)
		(('NOM', 'chose'), 1)
		(('PRP', 'de'), 1)
		(('ADV', 'après'), 1)
		(('VER:pper', 'faire'), 1)
		(('VER:infi', 'tomber'), 1)
		(('NOM', 'sœur'), 1)
		(('PRP', 'dans'), 1)
		(('PRO:PER', 'on'), 1)
		(('PRO:PER', 'la|le'), 1)
		(('VER:pper', 'emmener'), 1)
		(('PRP', 'à'), 1)
		(('NOM', 'hôpital'), 1)

	Richesse lexicale (Type-Token Ratio) : 0.6721311475409836

	Score BLEU : 0.004885671871522223

	Précision : 0.6666666666666666

	Rappel : 0.15625

	F-mesure : 0.2531645569620253

